Query_ID,Query
A1,"On 06 10, between 09:00 and 18:00, when did IEQ hit the minimum?"
A2 ,"On June 15, between 12:00 and 18:00, when was the temperature the highest?"
A3 ,"On 6-20, between 9 and 12:00, which hour had the highest CO₂?"
A4 ,"On June 25, from 14:00 to 20:00, which hour had the lowest illuminance?"
A5 ,"On June 30, between 08:00 and 12:00, when was humidity the highest?"
A6 ,"On July 4, between 09:00 and 18:00, list the top 3 lowest-IEQ hours (worst → better)."
A7 ,"On July 8, 18:00-23:00, which hour had the largest CO₂ increase compared to the previous hour?"
A8 ,"On 07 11, between 07:00 - 12:00, when did IEQ reach its minimum?"
B1,"On June 15, what was the most comfortable hour overall, and why?"
B2,"June 25, which hour felt the worst to stay in the room, and what signals support that?"
B3 ,"On July 4, when was the room condition closest to “ideal” across temperature, humidity, CO₂, and light?"
B4,"On July 8, what was the best hour for focused work (quiet/comfortable air), and why?"
B5,"On 07-11, which hour looked visibly “darkest” indoors, and did IEQ also suffer?"
B6,"On July 14, what was the most stable hour (least change across sensors)?"
B7,"On July 20, which hour was the most “stuffed” feeling (hint: air-related), and what evidence shows it?"
B8,"0720, in the afternoon, what was the best hour and why?"
C1,"On June 9, do you have enough data to answer “the worst hour in the evening”? If not, say what’s missing."
C2,"On July 11, interpret “early morning” and find the worst IEQ hour there."
C3,"On 06 15, interpret “around noon” and identify the lowest illuminance hour."
C4,"From July 1 to 0703, which day had the worst hour between 12:00–18:00?"
C5,"On August 20, find the hottest hour, but also state whether the result could be wrong due to missing slots."
C6,"On June 30, answer: “Was the worst hour in the morning or evening?” If unsure, explain why."
C7,"On July 20, interpret “late afternoon” and find when CO₂ was highest."
C8,"08 15, interpret “after dinner” and identify the worst IEQ hour."
D1,"On August 7, was the minimum IEQ hour mainly a “darkness” problem or something else?"
D2,"On August 15, explain the causal chain for the worst IEQ hour (what changed first → what followed)."
D3,"On 07 14, if the door was open longer, did CO₂ always go up? Provide evidence."
D4,"0727, identify a “sensor conflict” hour: one sensor looks good but IEQ is bad—why?"
D5,"08-01, which factor seems most responsible for IEQ fluctuations: temperature, humidity, CO₂, or illuminance?"
D6,"On 08 24, does bright light always imply good IEQ? Give one counterexample."
D7,"On August 31, did longer door-open duration reduce or increase CO₂ later in the afternoon?"
D8,Compare August 7 vs 0907: do the “bad hours” share a common sensor signature?
E1,"On June 10, locate the most abnormal hour across sensors and explain the root cause."
E2,"On June 25, find the darkest hour and explain whether it triggered an IEQ anomaly."
E3,"On 08 01, find the hour where humidity peaked and explain whether it caused an IEQ anomaly."
E4,"On August 15, locate the “turning point” when conditions went from okay to bad—what changed first?"
E5,"On 08 20, find the hottest hour and explain whether the discomfort was mainly thermal or air-quality related"
E6,"On August 31, identify the worst hour in 12:00–18:00 and explain the dominant driver."
E7,"On September 5, find the hour with the lowest IEQ and provide a short root-cause report."
E8,"Across August 10–13, pick the single worst anomaly hour and explain why it’s the strongest anomaly."
